B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,regime,source,target,true_lag,estimated_best_lag,correct_lag,ground_truth_alpha,estimated_alpha_true_lag,estimated_alpha_best_lag,correct_sign
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X4,X4,1,1,True,0.5,0.5070809125900269,0.5070809125900269,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.41401681303977966,0.41401681303977966,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.5479233264923096,0.5479233264923096,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.37854617834091187,-0.37854617834091187,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X4,1,1,True,0.5,0.5043176412582397,0.5043176412582397,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.4015471041202545,0.4015471041202545,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X2,1,4,False,0.699999988079071,0.2815975248813629,0.3007650673389435,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.5730477571487427,0.5730477571487427,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X4,X4,1,1,True,0.5,0.47622403502464294,0.47622403502464294,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.40171462297439575,0.40171462297439575,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.30101311206817627,0.30101311206817627,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.5731807947158813,0.5731807947158813,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X4,X4,1,1,True,0.5,0.47638458013534546,0.47638458013534546,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.38605231046676636,0.38605231046676636,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.6203491687774658,0.6203491687774658,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X2,X3,1,2,False,0.6000000238418579,-0.0006694783223792911,-0.018312744796276093,False
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X4,X4,1,1,True,0.5,0.5062726736068726,0.5062726736068726,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.38601404428482056,0.38601404428482056,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.6203973889350891,0.6203973889350891,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X2,X3,1,2,False,-0.6000000238418579,-0.0006673467578366399,-0.0183202363550663,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X4,X4,1,1,True,0.5,0.506348192691803,0.506348192691803,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.4101468622684479,0.4101468622684479,True
